1;'Code: PN';'';'patient_name_enter_prompt';'patient_name';'1XX1JoHmO94';1;0;0;1;1;0;4;4;1;'';1
2;'Code: PA';'';'patient_age_enter_prompt';'patient_age';'2XX1JoHmO94';2;0;0;1;2;0;6;4;1;'';1
3;'Code: PP';'';'patient_phone_enter_prompt';'patient_phone';'3ZZ1JoHmO94';3;0;0;1;3;0;13;4;0;'';0
4;'Code: PR';'';'';'patient_residence_village';'4YY1JoHmO94';4;0;0;1;4;0;19;4;0;'';1
5;'Code: PO';'';'patient_residence_village_other';'patient_residence_village_location';'5VV1JoHmO94';5;0;0;1;5;0;4;4;0;'';1
6;'Code: QS';'';'';'patient_sex_pregnancy';'6VV1JoHmO94';6;0;0;2;6;0;24;4;0;'';0
7;'Code: sex';'';'';'SEX';'7VV1JoHmO94';7;0;0;2;7;0;21;4;0;'';0
8;'Code: Pregnant';'';'';'Pregnant';'8VV1JoHmO94';8;0;0;2;8;0;21;4;0;'';0
9;'Code: Does fever';'';'symptoms_fever_text';'symptoms_fever';'9VV1JoHmO94';9;0;0;3;9;0;8;4;0;'question_images/p4_fever.png';1
10;'Code: Did seek';'';'symptoms_care_sought_text';'symptoms_care_sought';'10V1JoHmO94';10;0;0;3;10;0;8;4;0;'question_images/p4_seek.png';0
11;'Code: Severe symptoms';'';'symptoms_severity_text';'symptoms_severity';'11V1JoHmO94';11;0;0;3;11;0;8;4;0;'question_images/p4_severe.png';1
12;'Code: RDT';'';'';'rdt_test_result';'12V1JoHmO94';12;0;0;4;12;0;25;4;1;'';0
13;'Code: RDT NEGATIVE';'';'';'negative_test';'13V1JoHmO94';13;0;0;5;13;0;18;4;0;'rdt_negative_image';0
14;'ConfirmInvalid';'';'';'invalid%s_subtitle';'15V1JoHmO94';12;0;0;6;14;0;16;4;0;'rdt_invalid_image';0
15;'Code: Treat';'';'';'Work in progress';'16V1JoHmO94';2;0;0;7;15;0;23;8;0;'question_images/work_in_progress.png'
16;'Code: Vomiting';'';'patient_advice_text_vomiting';'patient_advice_title_vomiting';'17V1JoHmO94';3;0;0;8;16;0;23;8;0;'question_images/p7_vomiting.png';0
17;'Code: Taking m';'';'patient_advice_text_medication_with_food';'patient_advice_title_medication_with_food';'18V1JoHmO94';4;0;0;8;17;0;23;8;0;'question_images/p7_taking.png';0
18;'Code: Side ef';'';'patient_advice_text_side_effects';'patient_advice_title_side_effects';'19V1JoHmO94';5;0;0;8;18;0;23;8;0;'question_images/p7_side_effects.png';0
19;'Code: When to get';'';'patient_advice_text_help';'patient_advice_title_help';'20V1JoHmO94';6;0;0;8;19;0;23;8;0;'question_images/p7_help.png';0
20;'Code: travelling';'';'follow_up_travelling_text';'follow_up_travelling_question';'21V1JoHmO94';7;0;0;9;20;0;8;8;0;'question_images/p8_travelling.png';0
21;'Code: LLIN Q1';'';'follow_up_LLIN_ITN_usage_text';'follow_up_LLIN_ITN_usage_question';'22V1JoHmO94';8;0;0;9;21;0;8;8;0;'question_images/p8_llin1.png';0
22;'Code: LLIN Q2';'';'follow_up_LLIN_ITN_ownership_text';'follow_up_LLIN_ITN_ownership_question';'23V1JoHmO94';9;0;0;9;22;0;8;8;0;'question_images/p8_llin2.png';0
23;'Code: drugs label';'';'';'drugs_referral_instructions';'9cV1JoHmO94';1;0;0;10;23;0;23;8;0;'';0
24;'Code: ACT x 12';'';'';'drugs_referral_ACT12_question';'9dV1JoHmO94';1;0;0;10;24;0;8;8;0;'question_images/p5_actx12.png';1
25;'Code: Pq x 2';'';'';'drugs_referral_Pqx2_question';'9eV1JoHmO94';1;0;0;10;25;0;8;8;0;'question_images/p5_pqx2.png';1
26;'Code: Referred';'';'';'drugs_referral_referred_question';'9fV1JoHmO94';1;0;0;10;26;0;8;8;0;'question_images/p5_referred.png';1
